NUMERO_BOLETIM;DATAHORA_BOLETIM;DATA_INCLUSAO;TIPO_ACIDENTE;DESC_TIPO_ACIDENTE;COD_TEMPO;DESC_TEMPO;COD_PAVIMENTO;PAVIMENTO;COD_REGIONAL;DESC_REGIONAL;ORIGEM_BOLETIM;LOCAL_SINALIZADO;VELOCIDADE_PERMITIDA;COORDENADA_X;COORDENADA_Y;HORA_INFORMADA;INDICADOR_FATALIDADE;VALOR_UPS;DESCRIÇÃO_UPS;DATA_ALTERACAO_SMSA;VALOR_UPS_ANTIGA;DESCRIÇÃO_UPS_ANTIGA
2021-007205979-001;26/01/202118:00;11/02/202115:32;H02002;CAPOTAMENTO/TOMBAMENTOCOMVITIMA;0;NAOINFORMADO;1;ASFALTO;20;LESTE;POLICIACIVIL;NÃO;0;0000611776.78;0007798601.43;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007208474-001;11/02/202114:47;11/02/202115:42;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;24;OESTE;POLICIAMILITAR;NÃO;0;0000602501.15;0007795575.19;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007229257-001;11/02/202116:02;11/02/202117:07;H09002;COLISAODEVEICULOSCOMVITIMA;1;BOM;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000609677.64;0007802162.64;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007238730-001;11/02/202117:28;11/02/202117:47;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;23;NORTE;POLICIAMILITAR;NÃO;0;0000611764.66;0007805124.79;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007240467-001;11/02/202116:48;11/02/202117:54;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000606533.83;0007802596.69;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007242390-001;11/02/202117:16;11/02/202118:02;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;18;BARREIRO;POLICIAMILITAR;NÃO;0;0000604571.62;0007790035.64;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007242607-001;11/02/202117:09;11/02/202118:03;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;24;OESTE;POLICIAMILITAR;NÃO;0;0000606045.43;0007792845.20;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007242908-002;11/02/202117:08;11/02/202119:16;H08002;CHOQUEMECANICOCOMVITIMA;1;BOM;1;ASFALTO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000615827.77;0007803834.90;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007243774-001;11/02/202117:23;11/02/202118:08;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000605027.20;0007797323.03;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007244227-001;11/02/202117:14;11/02/202118:10;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;24;OESTE;POLICIAMILITAR;NÃO;0;0000608008.61;0007793555.44;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
